WBS,Equipment_Name,Equation_Key,Design_Parameter,Min_Range,Max_Range,Formula
Stainless Steel,ss_pv_eq,ss_pv_eq,=comm_vol_gal,"=VLOOKUP($E7,eq_table_cl,P$4,FALSE)","=VLOOKUP($E7,eq_table_cl,O$4,FALSE)","=IF(D7=0,0,IF(OR(D7>P7,D7<Q7),""contact vendor"",F7*D7^G7+H7*LN(D7)+I7+J7*EXP(K7*D7)+L7*D7^3+M7*D7^2+N"
Carbon Steel - Stainless Internals,cs_pv_eq,cs_pv_eq,=comm_vol_gal,"=VLOOKUP($E8,eq_table_cl,P$4,FALSE)","=VLOOKUP($E8,eq_table_cl,O$4,FALSE)","=IF(D8=0,0,IF(OR(D8>P8,D8<Q8),""contact vendor"",F8*D8^G8+H8*LN(D8)+I8+J8*EXP(K8*D8)+L8*D8^3+M8*D8^2+N"
Carbon Steel - Plastic Internals,csp_pv_eq,csp_pv_eq,=comm_vol_gal,"=VLOOKUP($E9,eq_table_cl,P$4,FALSE)","=VLOOKUP($E9,eq_table_cl,O$4,FALSE)","=IF(D9=0,0,IF(OR(D9>P9,D9<Q9),""contact vendor"",F9*D9^G9+H9*LN(D9)+I9+J9*EXP(K9*D9)+L9*D9^3+M9*D9^2+N"
Fiberglass,fg_pv_eq,fg_pv_eq,=comm_vol_gal,"=VLOOKUP($E10,eq_table_cl,P$4,FALSE)","=VLOOKUP($E10,eq_table_cl,O$4,FALSE)","=IF(D10=0,0,IF(OR(D10>P10,D10<Q10),""contact vendor"",F10*D10^G10+H10*LN(D10)+I10+J10*EXP(K10*D10)+L10"
Steel,st_bwt_eq,st_bwt_eq,=back_tank_vol,"=VLOOKUP($E24,eq_table_cl,P$4,FALSE)","=VLOOKUP($E24,eq_table_cl,O$4,FALSE)","=IF(D24=0,0,IF(OR(D24>P24,D24<Q24),""contact vendor"",F24*D24^G24+H24*LN(D24)+I24+J24*EXP(K24*D24)+L24"
Fiberglass,fg_bwt_eq,fg_bwt_eq,=back_tank_vol,"=VLOOKUP($E25,eq_table_cl,P$4,FALSE)","=VLOOKUP($E25,eq_table_cl,O$4,FALSE)","=IF(D25=0,0,IF(OR(D25>P25,D25<Q25),""contact vendor"",F25*D25^G25+H25*LN(D25)+I25+J25*EXP(K25*D25)+L25"
Plastic/HDPE,hdpe_bwt_eq,hdpe_bwt_eq,=back_tank_vol,"=VLOOKUP($E26,eq_table_cl,P$4,FALSE)","=VLOOKUP($E26,eq_table_cl,O$4,FALSE)","=IF(D26=0,0,IF(OR(D26>P26,D26<Q26),""contact vendor"",F26*D26^G26+H26*LN(D26)+I26+J26*EXP(K26*D26)+L26"
Steel Tanks,st_ht_eq,st_bwt_eq,=htank_vol,"=VLOOKUP($E28,eq_table_cl,P$4,FALSE)","=VLOOKUP($E28,eq_table_cl,O$4,FALSE)","=IF(D28=0,0,IF(OR(D28>P28,D28<Q28),""contact vendor"",F28*D28^G28+H28*LN(D28)+I28+J28*EXP(K28*D28)+L28"
Fiberglass Tanks,fg_ht_eq,fg_bwt_eq,=htank_vol,"=VLOOKUP($E29,eq_table_cl,P$4,FALSE)","=VLOOKUP($E29,eq_table_cl,O$4,FALSE)","=IF(D29=0,0,IF(OR(D29>P29,D29<Q29),""contact vendor"",F29*D29^G29+H29*LN(D29)+I29+J29*EXP(K29*D29)+L29"
Plastic/HDPE Tanks,hdpe_ht_eq,hdpe_bwt_eq,=htank_vol,"=VLOOKUP($E30,eq_table_cl,P$4,FALSE)","=VLOOKUP($E30,eq_table_cl,O$4,FALSE)","=IF(D30=0,0,IF(OR(D30>P30,D30<Q30),""contact vendor"",F30*D30^G30+H30*LN(D30)+I30+J30*EXP(K30*D30)+L30"
Plastic/XLPE,pl_coag_st_eq,pl_cst_eq,=coag_tank_vol,"=VLOOKUP($E32,eq_table_cl,P$4,FALSE)","=VLOOKUP($E32,eq_table_cl,O$4,FALSE)","=IF(D32=0,0,IF(OR(D32>P32,D32<Q32),""contact vendor"",F32*D32^G32+H32*LN(D32)+I32+J32*EXP(K32*D32)+L32"
