wbs,qty_unit,size_unit
1.1.1,units,gal
1.2.1,units,
1.2.2,units,
1.2.3,lf,
1.2.4,risers,
1.2.5,cy,
1.2.6,cy,
2.1.1,units,gal
2.2.1,units,gal
2.3.1,units,
2.3.2,cy,
2.3.3,gal,
2.4.1,units,
3.1.1,lf,in. diam
3.2.1,lf,in. diam
3.3.1,lf,in. diam
3.4.1,lf,in. diam
3.4.2,cy,
3.4.3,cy,
3.4.5,cy,
3.4.6,cy,
3.5.1,lf,in. diam
3.6.1,lf,in. diam
3.7.1,lf,in. diam
4.1.1,units,in. diam
4.1.2,units,in. diam
4.1.3,units,in. diam
4.1.4,units,in. diam
4.1.5,units,in. diam
4.1.6,units,in. diam
4.2.1,units,in. diam
4.2.2,units,in. diam
4.2.3,units,in. diam
4.2.4,units,in. diam
4.2.5,units,in. diam
4.2.6,units,in. diam
4.2.7,units,in. diam
4.3.1,units,in. diam
4.3.2,units,in. diam
4.3.3,units,in. diam
4.3.4,units,in. diam
4.3.5,units,in. diam
4.3.6,units,in. diam
5.1,units,
5.2,units,
5.3,units,
5.4.1,units,
5.5.1,units,
6.1.1,units,in. diam
6.2.1,units,in. diam
6.3.1,units,in. diam
6.4.1,units,in. diam
6.5,units,
6.6,units,
6.7,units,
6.8,units,
6.9,units,
6.10,units,
6.11,units,
6.12.1,units,
6.13,units,
7.1.1,units,
7.1.2,units,
7.1.3,units,
7.1.4,units,
7.1.5,units,
7.1.6,units,
7.1.7,units,
7.1.8,units,
7.1.9,units,
7.2.1,units,
7.2.2,units,
7.2.3,units,
7.2.4,units,
7.3.1,units,
7.3.2,units,
7.3.3,units,
7.3.4,units,
8.1.1,units,
8.1.2,units,
8.2.1,units,
8.4.1,units,
8.5.1,units,
9.1,lbs,
10.1,units,
10.2,units,
10.3.1,units,
10.4.1,units,
10.5.1,units,
11.1,units,
11.2,cy,
11.3,units,
11.4,lf,
11.5,cy,
11.6,cy,
12.1,units,
13.1,cells,
13.2,cells,
13.3,cells,
13.4,cells,
14.1.1,units,sf
14.1.2.1,units,
14.1.3.1,units,
14.2.1,units,sf
14.2.2.1,units,
14.2.3.1,units,
14.3.1,units,sf
14.4.1,units,sf
14.5,units,cy
